race_ids,race_urls,race_date
202506010101,https://race.netkeiba.com/race/result.html?race_id=202506010101&rf=race_submenu,20250105
202506010102,https://race.netkeiba.com/race/result.html?race_id=202506010102&rf=race_submenu,20250105
202506010103,https://race.netkeiba.com/race/result.html?race_id=202506010103&rf=race_submenu,20250105
202506010104,https://race.netkeiba.com/race/result.html?race_id=202506010104&rf=race_submenu,20250105
202506010105,https://race.netkeiba.com/race/result.html?race_id=202506010105&rf=race_submenu,20250105
202506010106,https://race.netkeiba.com/race/result.html?race_id=202506010106&rf=race_submenu,20250105
202506010107,https://race.netkeiba.com/race/result.html?race_id=202506010107&rf=race_submenu,20250105
202506010108,https://race.netkeiba.com/race/result.html?race_id=202506010108&rf=race_submenu,20250105
202506010109,https://race.netkeiba.com/race/result.html?race_id=202506010109&rf=race_submenu,20250105
202506010110,https://race.netkeiba.com/race/result.html?race_id=202506010110&rf=race_submenu,20250105
202506010111,https://race.netkeiba.com/race/result.html?race_id=202506010111&rf=race_submenu,20250105
202506010112,https://race.netkeiba.com/race/result.html?race_id=202506010112&rf=race_submenu,20250105
202507010101,https://race.netkeiba.com/race/result.html?race_id=202507010101&rf=race_submenu,20250105
202507010102,https://race.netkeiba.com/race/result.html?race_id=202507010102&rf=race_submenu,20250105
202507010103,https://race.netkeiba.com/race/result.html?race_id=202507010103&rf=race_submenu,20250105
202507010104,https://race.netkeiba.com/race/result.html?race_id=202507010104&rf=race_submenu,20250105
202507010105,https://race.netkeiba.com/race/result.html?race_id=202507010105&rf=race_submenu,20250105
202507010106,https://race.netkeiba.com/race/result.html?race_id=202507010106&rf=race_submenu,20250105
202507010107,https://race.netkeiba.com/race/result.html?race_id=202507010107&rf=race_submenu,20250105
202507010108,https://race.netkeiba.com/race/result.html?race_id=202507010108&rf=race_submenu,20250105
202507010109,https://race.netkeiba.com/race/result.html?race_id=202507010109&rf=race_submenu,20250105
202507010110,https://race.netkeiba.com/race/result.html?race_id=202507010110&rf=race_submenu,20250105
202507010111,https://race.netkeiba.com/race/result.html?race_id=202507010111&rf=race_submenu,20250105
202507010112,https://race.netkeiba.com/race/result.html?race_id=202507010112&rf=race_submenu,20250105
202506010201,https://race.netkeiba.com/race/result.html?race_id=202506010201&rf=race_submenu,20250106
202506010202,https://race.netkeiba.com/race/result.html?race_id=202506010202&rf=race_submenu,20250106
202506010203,https://race.netkeiba.com/race/result.html?race_id=202506010203&rf=race_submenu,20250106
202506010204,https://race.netkeiba.com/race/result.html?race_id=202506010204&rf=race_submenu,20250106
202506010205,https://race.netkeiba.com/race/result.html?race_id=202506010205&rf=race_submenu,20250106
202506010206,https://race.netkeiba.com/race/result.html?race_id=202506010206&rf=race_submenu,20250106
202506010207,https://race.netkeiba.com/race/result.html?race_id=202506010207&rf=race_submenu,20250106
202506010208,https://race.netkeiba.com/race/result.html?race_id=202506010208&rf=race_submenu,20250106
202506010209,https://race.netkeiba.com/race/result.html?race_id=202506010209&rf=race_submenu,20250106
202506010210,https://race.netkeiba.com/race/result.html?race_id=202506010210&rf=race_submenu,20250106
202506010211,https://race.netkeiba.com/race/result.html?race_id=202506010211&rf=race_submenu,20250106
